LINEUPS,GP,W,L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
V. Cancar - D. Reed - C. Braun - P. Watson - J. White,1,0,1,4,5,2,9,22.2,0,1,0,1,1,100,3,3,6,0,1,0,0,1,2,2,1
N. Jokic - D. Reed - Z. Nnaji - B. Hyland - C. Braun,1,0,1,4,8,3,5,60,0,1,0,2,2,100,1,2,3,2,1,0,0,0,0,1,-2
J. Green - N. Jokic - V. Cancar - B. Brown - M. Porter Jr.,1,1,0,4,8,4,8,50,0,3,0,0,0,0,1,3,4,4,0,0,0,2,1,0,-3
I. Smith - R. Jackson - T. Bryant - C. Braun - J. White,1,0,1,4,8,3,6,50,2,3,66.7,0,0,0,0,2,2,3,1,1,0,0,2,1,0
J. Murray - V. Cancar - B. Brown - Z. Nnaji - C. Braun,1,1,0,4,7,3,9,33.3,1,5,20,0,0,0,1,2,3,0,0,1,1,3,1,2,0
A. Gordon - V. Cancar - Z. Nnaji - B. Hyland - C. Braun,1,1,0,4,12,5,7,71.4,2,3,66.7,0,0,0,0,3,3,4,1,1,0,0,1,1,10
J. Green - R. Jackson - K. Caldwell-Pope - N. Jokic - C. Braun,1,0,1,4,8,2,5,40,1,3,33.3,3,4,75,0,3,3,2,2,1,1,0,3,2,0
J. Green - D. Jordan - D. Reed - B. Brown - B. Hyland,1,0,1,3,5,2,4,50,1,2,50,0,0,0,0,2,2,1,5,0,0,0,2,0,-7
I. Smith - R. Jackson - T. Bryant - B. Brown - Z. Nnaji,1,1,0,3,11,5,8,62.5,1,3,33.3,0,0,0,1,2,3,3,1,1,1,0,1,0,5
J. Green - B. Brown - M. Porter Jr. - Z. Nnaji - B. Hyland,1,1,0,3,5,2,7,28.6,1,4,25,0,2,0,1,2,3,1,0,1,1,1,5,3,-4
N. Jokic - D. Reed - B. Brown - M. Porter Jr. - Z. Nnaji,1,0,1,3,6,3,5,60,0,1,0,0,0,0,1,2,3,2,2,1,0,0,1,0,-2
J. Green - K. Caldwell-Pope - B. Brown - M. Porter Jr. - B. Hyland,1,0,1,3,10,4,5,80,1,2,50,1,1,100,0,4,4,2,3,0,1,0,4,0,8
J. Green - K. Caldwell-Pope - A. Gordon - B. Brown - B. Hyland,1,0,1,3,7,3,7,42.9,1,3,33.3,0,0,0,1,1,2,0,0,0,0,1,1,0,-7
J. Murray - V. Cancar - Z. Nnaji - B. Hyland - C. Braun,1,1,0,3,4,1,3,33.3,0,1,0,2,2,100,1,1,2,0,2,1,0,0,1,2,-4
D. Jordan - D. Reed - B. Brown - M. Porter Jr. - B. Hyland,1,1,0,3,6,3,5,60,0,1,0,0,0,0,0,2,2,2,0,0,1,0,1,2,-4
J. Green - D. Jordan - R. Jackson - B. Brown - C. Braun,1,0,1,3,8,2,6,33.3,0,1,0,4,4,100,1,2,3,0,0,0,0,2,1,2,3
J. Murray - V. Cancar - D. Reed - Z. Nnaji - B. Hyland,1,1,0,3,8,3,6,50,2,4,50,0,0,0,1,1,2,2,2,2,0,1,3,0,4
N. Jokic - V. Cancar - D. Reed - B. Hyland - C. Braun,1,1,0,3,10,4,6,66.7,1,2,50,1,3,33.3,1,3,4,3,1,0,1,0,0,3,3
